decade,genre,avg_rating,rating_count,movie_count,avg_revenue
1900,Horror,,0,4,0.0
1970,TV Movie,,0,1,0.0
2010,Foreign,,0,1,0.0
1910,Romance,,0,4,0.0
1910,Western,,0,5,0.0
2010,Musical,,0,3,0.0
1950,Film-Noir,,0,2,0.0
1900,[],,0,1,0.0
2000,Music,,0,4,0.0
1910,Animation,,0,2,0.0
1990,Music,1.0,1,3,0.0
1930,Music,,0,2,0.0
1920,Thriller,,0,1,0.0
1970,Family,,0,2,0.0
1930,Documentary,,0,4,0.0
1960,Music,,0,2,0.0
2010,History,,0,4,0.0
1910,Children,,0,3,0.0
1970,Musical,4.0,1,2,0.0
1960,History,,0,3,0.0
1930,Sci-Fi,1.0,1,9,0.0
1970,Music,,0,2,0.0
1900,Animation,,0,3,0.0
1930,Film-Noir,,0,1,0.0
2010,Family,,0,4,0.0
1920,Sci-Fi,,0,2,0.0
1920,Crime,,0,2,0.0
1920,Western,,0,2,0.0
1970,[],,0,3,0.0
1960,Science Fiction,3.5,1,2,0.0
1930,History,,0,2,0.0
1910,Horror,,0,1,0.0
1910,Mystery,,0,2,0.0
1890,Fantasy,,0,2,0.0
1960,Foreign,,0,2,0.0
1990,TV Movie,,0,1,0.0
1890,Sci-Fi,,0,1,0.0
1970,Foreign,,0,2,0.0
1910,Documentary,,0,3,0.0
1980,TV Movie,,0,1,0.0
1900,Children,,0,1,0.0
1990,Musical,,0,1,0.0
1980,Foreign,,0,1,0.0
1940,Music,,0,1,0.0
1930,Family,,0,1,0.0
2010,Music,,0,1,0.0
